wals_code,iso_code,glottocode,name,lat,lon,genus,family,subfamily
trr,tbg,nort2920,Tairora,-6.5,146.0,Eastern Highlands,Trans-New Guinea,__
trt,tft,tern1247,Ternate,0.833333333333,127.25,North Halmaheran,West Papuan,__
tru,tpy,trum1247,Trumai,-11.9166666667,-53.5833333333,Trumai,Trumai,__
trw,trw,torw1241,Torwali,34.25,72.0,Indic,Indo-European,__
try,tiy,tiru1241,Tiruray,6.75,124.166666667,Bilic,Austronesian,__
tsa,tkr,tsak1249,Tsakhur,41.6666666667,47.1666666667,Lezgic,Nakh-Daghestanian,Daghestanian
tse,aoz,uabm1237,Timorese,-9.66666666667,124.5,Central Malayo-Polynesian,Austronesian,__
tsf,cof,colo1256,Tsafiki,-1.0,-79.3333333333,Barbacoan,Barbacoan,__
tsg,tsg,taus1251,Tausug,6.0,121.0,Greater Central Philippine,Austronesian,__
tsh,par,pana1305,Tümpisa Shoshone,37.0,-117.0,Numic,Uto-Aztecan,__
tsi,tsi,nucl1649,Tsimshian (Coast),52.5,-129.0,Tsimshianic,Penutian,__
tsj,tew,tewa1260,Tewa (San Juan Pueblo),36.0833333333,-106.083333333,Kiowa-Tanoan,Kiowa-Tanoan,__
tsk,taq,tama1365,Tamashek,20.0,-2.0,Berber,Afro-Asiatic,__
tsl,tza,tanz1238,Tanzania Sign Language,-6.0,35.0,Sign Languages,other,__
tsm,_48,,Tasmanian,-42.1666666667,146.5,Tasmanian,Tasmanian,__
tsn,tso,tson1249,Tsonga,-24.0,32.0,Bantoid,Niger-Congo,Benue-Congo
tso,tsu,tsou1248,Tsou,23.5,120.75,Tsou,Austronesian,__
tsp,tam,tami1289,Tamil (Spoken),11.0,78.0,Southern Dravidian,Dravidian,__
tsr,trr,taus1253,Taushiro,-3.25,-75.5,Taushiro,Taushiro,__
tst,huq,tsat1238,Tsat,18.25,109.5,Malayo-Sumbawan,Austronesian,__
tsw,tsn,tswa1253,Tswana,-24.0,26.0,Bantoid,Niger-Congo,Benue-Congo
tsz,ddo,dido1241,Tsez,42.25,45.75,Avar-Andic-Tsezic,Nakh-Daghestanian,Daghestanian
