"lab.name","lab.genus","lab.family","lab.subfamily","lab.lat","lab.lon","lab.iso"
"Lai","Kuki-Chin","Sino-Tibetan","Tibeto-Burman","22.6666666667","93.6666666667","'cnh'"
"Lak","Lak-Dargwa","Nakh-Daghestanian","Daghestanian","42.1666666667","47.1666666667","'lbe'"
"Ladakhi","Bodic","Sino-Tibetan","Tibeto-Burman","34","78","'lbj'"
"Lafofa","Tegem","Niger-Congo","Kordofanian","10.25","31.25","'laf'"
"Lagwan","Biu-Mandara","Afro-Asiatic","Chadic","11.5","14.8333333333","'kot'"
"Laal","Laal","Laal","__","10","17.6666666667","'gdm'"
"Labu","Oceanic","Austronesian","Eastern Malayo-Polynesian","-6.75","146.916666667","'lbu'"
"Lacandn","Mayan","Mayan","__","17","-91.5","'lac'"
"Lotha","Kuki-Chin","Sino-Tibetan","Tibeto-Burman","26.5","94.25","'njh'"
"Laz","Kartvelian","Kartvelian","__","41.5","41.5","'lzz'"
"Latvian","Baltic","Indo-European","__","57","24","'lav'"
"Lau","Oceanic","Austronesian","Eastern Malayo-Polynesian","-9.58333333333","161.5","'llu'"
"Lavukaleve","Lavukaleve","Solomons East Papuan","__","-9.08333333333","159.2","'lvk'"
"Laragia","Laragiyan","Australian","__","-12.6666666667","130.833333333","'lrg'"
"Yaqay","Marind Proper","Marind","__","-6.58333333333","139.25","'jaq'"
"Waur","Arawakan","Arawakan","__","-13","-53","'wau'"
"Zenaga","Berber","Afro-Asiatic","__","17.3333333333","-16","'zen'"
"Wu (Changzhou)","Chinese","Sino-Tibetan","__","31.6666666667","119.916666667","'wuu'"
"Zapotec (Jurez)","Zapotecan","Oto-Manguean","__","17.5","-96.5833333333","'zaa'"
"Choln","Cholon","Cholon","__","-8","-77.5","'cht'"
"Fijian (Wayan)","Oceanic","Austronesian","Eastern Malayo-Polynesian","-17","177.3","'wyy'"
"Chaldean (Modern)","Semitic","Afro-Asiatic","__","36","43","'cld'"
"Chinantec (Lealao)","Chinantecan","Oto-Manguean","__","17.3333333333","-95.9166666667","'cle'"
"Clallam","Central Salish","Salishan","__","48.0833333333","-123.75","'clm'"
"Imonda","Border","Border","__","-3.33333333333","141.166666667","'imn'"
"Colac","Pama-Nyungan","Australian","__","-38.3333333333","143.5","'_12'"
"Sisaala","Gur","Niger-Congo","__","10.8333333333","-2.66666666667","'ssl'"
"Sorbian (Lower)","Slavic","Indo-European","__","51.75","14.3333333333","'hsb_dsb'"
"Chulym","Turkic","Altaic","__","54.3333333333","89.6666666667","'clw'"
"Fijian","Oceanic","Austronesian","Eastern Malayo-Polynesian","-17.8333333333","178","'fij'"
"Finnish","Finnic","Uralic","Finno-Ugric","62","25","'fin'"
"Mixtec (Coatzospan)","Mixtecan","Oto-Manguean","__","18.0833333333","-96.5833333333","'miz'"
"Mixe (Ayutla)","Mixe-Zoque","Mixe-Zoque","__","17.0833333333","-96.0833333333","'_45'"
"Mixtec (Yosonda)","Mixtecan","Oto-Manguean","__","16.9166666667","-97.5833333333","'mpm'"
"Mixtec (Ayutla)","Mixtecan","Oto-Manguean","__","16.9166666667","-99.1666666667","'miy'"
"Mixtec (Chayuco)","Mixtecan","Oto-Manguean","__","16.4166666667","-97.8333333333","'mih'"
"Mixtec (Silacayoapan)","Mixtecan","Oto-Manguean","__","17.5","-98.1666666667","'mks'"
"Mixtec (Peoles)","Mixtecan","Oto-Manguean","__","17.0833333333","-96.9166666667","'mil'"
"Mixtec (Ocotepec)","Mixtecan","Oto-Manguean","__","17.1666666667","-97.75","'mie'"
"Mixtec (Alacatlatzala)","Mixtecan","Oto-Manguean","__","17.25","-98.5833333333","'mim'"
"Mixtec (Molinos)","Mixtecan","Oto-Manguean","__","17","-97.5833333333","'mig'"
"Mixtec (Jicaltepec)","Mixtecan","Oto-Manguean","__","16.3333333333","-98","'mio'"
"Mixtec (San Miguel el Grande)","Mixtecan","Oto-Manguean","__","17.05","-97.5666666667","'mig'"
"Ifira-Mele","Oceanic","Austronesian","Eastern Malayo-Polynesian","-17.75","168.25","'mxe'"
"Mixtec (Chalcatongo)","Mixtecan","Oto-Manguean","__","17.05","-97.5833333333","'mig'"
"Mixtec (Atatlahuca)","Mixtecan","Oto-Manguean","__","17","-97.75","'mib'"
"Mandinka","Western Mande","Niger-Congo","Mande","13","-15.6666666667","'mnk'"
"Mandan","Siouan","Siouan","__","46.5","-102.5","'mhq'"
"Mbodomo","Ubangi","Niger-Congo","Adamawa-Ubangi","4.5","15.5","'gmm'"
"Madngele","Eastern Daly","Australian","Daly","-13.8333333333","130.416666667","'zml'"
"Madimadi","Pama-Nyungan","Australian","__","-34.5","143.5","'_40'"
"Mudburra","Pama-Nyungan","Australian","__","-17.3333333333","132.083333333","'mwd'"
"Mada (in Cameroon)","Biu-Mandara","Afro-Asiatic","Chadic","10.8333333333","14.1666666667","'mxu'"
"Mundang","Adamawa","Niger-Congo","Adamawa-Ubangi","9.66666666667","14.5","'mua'"
"Mende","Western Mande","Niger-Congo","Mande","7.83333333333","-11.5","'men'"
"Mada (in Nigeria)","Platoid","Niger-Congo","Benue-Congo","8.75","8.25","'mda'"
"Madurese","Madurese","Austronesian","__","-7","113.5","'mad'"
"Manadonese","Malayic","Austronesian","__","1.5","124.833333333","'xmm'"
"Mbosi","Bantoid","Niger-Congo","Benue-Congo","-1.25","15.5","'mdw'"
"Mnd","Ubangi","Niger-Congo","Adamawa-Ubangi","4.5","30","'muh'"
"Gola","Southern Atlantic","Niger-Congo","Atlantic","7.25","-10.8333333333","'gol'"
"Gooniyandi","Bunuban","Australian","__","-18.3333333333","126.333333333","'gni'"
"Gondi","South-Central Dravidian","Dravidian","__","19","81","'ggo'"
"Gokana","Cross River","Niger-Congo","Benue-Congo","4.58333333333","7.33333333333","'gkn'"
"Gojri","Indic","Indo-European","__","32.75","76.25","'gju'"
"Goemai","West Chadic","Afro-Asiatic","Chadic","8.66666666667","9.75","'ank'"
"Godoberi","Avar-Andic-Tsezic","Nakh-Daghestanian","Daghestanian","42.6666666667","46.0833333333","'gdo'"
"Gogodala","Gogodala","Gogodala-Suki","__","-8.08333333333","142.833333333","'ggw'"
"Sahaptin (Umatilla)","Sahaptian","Penutian","__","45.6666666667","-118.5","'uma'"
"Goajiro","Arawakan","Arawakan","__","12","-72","'guc'"
"Shompen","Shompen","Shompen","__","7","93.75","'_80'"
"Warrungu","Pama-Nyungan","Australian","__","-18","145","'wrg'"
"Aji","Oceanic","Austronesian","Eastern Malayo-Polynesian","-21.3333333333","165.5","'aji'"
"Semelai","Aslian","Austro-Asiatic","Mon-Khmer","3","103","'sza'"
"Semai","Aslian","Austro-Asiatic","Mon-Khmer","4.33333333333","101.666666667","'sea'"
"Danish","Germanic","Indo-European","__","56","10","'dan'"
"Nicobarese","Nicobarese","Austro-Asiatic","Mon-Khmer","7","93.8333333333","'ncb'"
"Aja","Kresh","Nilo-Saharan","Central Sudanic","7.33333333333","25.6666666667","'aja'"
"Seme","Kru","Niger-Congo","__","11","-4.91666666667","'sif'"
"Semandang","Land Dayak","Austronesian","__","-0.75","110.5","'sdm'"
"German (Ostschweiz)","Germanic","Indo-European","__","47.4166666667","9.25","'gsw'"
"Gorowa","Southern Cushitic","Afro-Asiatic","Cushitic","-4.5","36.5","'gow'"
"Niuafo'ou","Oceanic","Austronesian","Eastern Malayo-Polynesian","-15.5666666667","-175.616666667","'num'"
"Nenets (Tundra)","Samoyedic","Uralic","__","70","76","'yrk'"
"Ngiti","Lendu","Nilo-Saharan","Central Sudanic","1.33333333333","30.25","'niy'"
"Pipil","Aztecan","Uto-Aztecan","__","13.8333333333","-89.5833333333","'ppl'"
"Ngaanyatjarra","Pama-Nyungan","Australian","__","-26","126.5","'ntj'"
"Ntomba","Bantoid","Niger-Congo","Benue-Congo","-2","18.3333333333","'nto'"
"Nateni","Gur","Niger-Congo","__","10.5","1.16666666667","'ntm'"
"Norsk Tegnsprk","Sign Languages","other","__","61","9","'nsl'"
"Aralle-Tabulahan","Sulawesi","Austronesian","__","-2.75","119.25","'atq'"
"Atchin","Oceanic","Austronesian","Eastern Malayo-Polynesian","-16","167.333333333","'upv'"
"Atayal","Atayalic","Austronesian","__","24.5","121.333333333","'tay'"
"Israeli Sign Language","Sign Languages","other","__","32","34.8333333333","'isr'"
"Atacameo","Kunza","Kunza","__","-23","-69","'kuz'"
"Atakapa","Atakapa","Atakapa","__","30","-93.5","'aqp'"
"Athpare","Bodic","Sino-Tibetan","Tibeto-Burman","27","87.3333333333","'aph'"
"Atikamekw","Algonquian","Algic","__","48","-74","'atj'"
"Isirawa","Kwerba","Kwerba","__","-1.83333333333","138.5","'srl'"
"Ishkashmi","Iranian","Indo-European","__","37","72","'sgl'"
